epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,449.0,7840.0,591.0,686.0,0.43173076923076925,0.39559471365638765,0.4128735632183908,0.8665063767509931,2.3019803524017335,0.1474
1,1121.0,2482.0,518.0,14.0,0.6839536302623551,0.9876651982378855,0.8082191780821919,0.8713422007255139,1.7100303053855896,0.7504
2,1075.0,2202.0,70.0,60.0,0.9388646288209607,0.947136563876652,0.9429824561403508,0.961843263868506,1.6866251826286316,0.7738
3,966.0,2992.0,26.0,169.0,0.9737903225806451,0.8511013215859031,0.908321579689704,0.953045990849988,1.7769877195358277,0.6839
4,986.0,2507.0,88.0,149.0,0.9180633147113594,0.8687224669603524,0.8927116342236304,0.9364611260053619,1.7263894081115723,0.7344
5,1052.0,3257.0,98.0,83.0,0.9147826086956522,0.9268722466960353,0.9207877461706785,0.9596881959910913,1.7951493859291077,0.666
6,970.0,2849.0,69.0,165.0,0.933589990375361,0.8546255506607929,0.892364305427783,0.9422649888971133,1.7624924302101135,0.6986
7,1060.0,3577.0,134.0,75.0,0.8877721943048577,0.933920704845815,0.9102619149849721,0.9568716467189434,1.826297640800476,0.6348
8,958.0,3262.0,108.0,177.0,0.8986866791744841,0.8440528634361234,0.8705134029986371,0.9367369589345172,1.8049437761306764,0.6561
9,1008.0,2611.0,134.0,127.0,0.882661996497373,0.8881057268722466,0.8853754940711462,0.9327319587628866,1.734932792186737,0.7262
10,927.0,2923.0,80.0,208.0,0.9205561072492552,0.8167400881057268,0.8655462184873949,0.930401159980667,1.774295949935913,0.6869
11,863.0,3233.0,38.0,272.0,0.9578246392896781,0.760352422907489,0.8477406679764243,0.9296413980935089,1.8116377115249633,0.6495
12,1088.0,3297.0,402.0,47.0,0.7302013422818792,0.958590308370044,0.8289523809523809,0.9071162598262309,1.7955233335494996,0.6656
13,1110.0,3955.0,376.0,25.0,0.746971736204576,0.9779735682819384,0.8470049599389546,0.9266373948042445,1.859216821193695,0.602
14,1048.0,3601.0,235.0,87.0,0.8168355416991426,0.9233480176211454,0.8668320926385443,0.9352243009454838,1.8299262285232545,0.6312
15,911.0,3633.0,65.0,224.0,0.9334016393442623,0.8026431718061674,0.8630980577925155,0.9402027726050073,1.8468256950378419,0.6143
16,751.0,3818.0,7.0,384.0,0.9907651715039578,0.6616740088105727,0.7934495509772848,0.9211693548387097,1.881330132484436,0.5798
17,1068.0,3543.0,232.0,67.0,0.8215384615384616,0.9409691629955947,0.8772073921971253,0.9391038696537678,1.8221954464912415,0.639
18,1106.0,3731.0,407.0,29.0,0.7309980171844018,0.9744493392070485,0.8353474320241692,0.9173146216575004,1.8371796369552613,0.624
19,1123.0,3821.0,1020.0,12.0,0.5240317312179188,0.9894273127753304,0.6851738865161684,0.8273092369477911,1.8444077968597412,0.6167
20,1034.0,3677.0,296.0,101.0,0.7774436090225564,0.9110132158590308,0.8389452332657201,0.9222787783868441,1.8389852643013,0.6222
